Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-07-23,145.574280,145.731068,143.967241,144.584584,71447400
2021-07-26,145.995621,146.818735,144.731539,145.290090,72434100
2021-07-27,143.820267,146.211231,142.624785,146.123028,104818600
2021-07-28,142.066238,144.016249,139.675274,141.899657,118931200
2021-07-29,142.712952,143.604666,141.674258,141.782048,56699500
2021-07-30,142.928543,143.389098,141.213714,141.478292,70440600
2021-08-02,142.595398,143.996651,142.330820,143.418512,62880000
2021-08-03,144.398392,145.064718,142.262197,142.879540,64786600
2021-08-04,143.996597,144.819711,143.340065,144.310173,56368300
2021-08-05,144.104431,144.868754,143.232319,144.026037,46397700
2021-08-06,143.417480,144.369411,142.916987,143.623575,54126800
2021-08-09,143.368393,143.967029,142.809020,143.476344,48908700
2021-08-10,142.887527,144.958219,142.593113,143.711875,69023100
2021-08-11,143.142670,143.986649,142.818816,143.329132,48493500
2021-08-12,146.116257,146.273280,143.123074,143.466559,72282600
2021-08-13,146.322327,146.655989,145.507787,146.194744,59375000
2021-08-16,148.304688,148.373391,143.741321,145.772750,103296000
2021-08-17,147.392014,148.854246,146.312500,147.431262,92229700
2021-08-18,143.633392,147.912168,143.427298,147.009309,86326000
2021-08-19,143.967056,145.242841,141.808044,142.328169,86960300
2021-08-20,145.429276,145.733498,144.045540,144.693248,60549600
2021-08-23,146.920975,147.392028,145.134873,145.547047,60131800
2021-08-24,146.832642,148.049546,146.371396,146.665810,48606400
2021-08-25,145.596115,147.519608,145.046550,147.019099,58991300
2021-08-26,144.791382,146.341949,144.761942,145.586304,48597200
2021-08-27,145.831635,145.978834,144.094605,144.732490,55802400
2021-08-30,150.267426,150.630543,145.841451,146.224184,90956700
2021-08-31,149.001450,149.953380,148.471501,149.815989,86453100
2021-09-01,149.668762,152.092748,149.501931,149.982808,80313700
2021-09-02,150.787552,151.837625,149.560839,151.003455,71115500
2021-09-03,151.425461,151.749315,150.237996,150.895512,57808700
2021-09-07,153.770950,154.330324,151.513795,152.082992,82278300
2021-09-08,152.220383,154.114421,151.111429,154.055541,74420200
2021-09-09,151.199738,153.201726,151.081963,152.593282,57305700
2021-09-10,146.194763,152.583480,145.929789,152.112426,140893200
2021-09-13,146.763916,148.599073,145.978817,147.823798,102404300
2021-09-14,145.360596,148.255651,144.173146,147.549063,109296300
2021-09-15,146.253677,146.656043,143.643228,145.792432,83281300
2021-09-16,146.018112,146.194767,144.477368,145.674641,68034100
2021-09-17,143.338959,146.047551,143.044545,146.047551,129868800
2021-09-20,140.277084,142.141682,138.638198,141.121063,123478900
2021-09-21,140.757919,141.906136,140.120035,141.248604,75834000
2021-09-22,143.132874,143.702055,141.022918,141.758946,76404300
2021-09-23,144.094604,144.339947,142.926771,143.917950,64838200
2021-09-24,144.182953,144.722710,142.848288,142.946431,53477900
2021-09-27,142.661789,143.240809,141.140677,142.759932,74150700
2021-09-28,139.266266,142.053354,139.050363,140.581299,108972300
2021-09-29,140.169113,141.758928,139.384014,139.815819,74602000
2021-09-30,138.863907,141.690258,138.648004,140.983670,89056700
2021-10-01,139.992477,140.257452,136.518433,139.256450,94639600
2021-10-04,136.547897,139.560712,135.694110,139.119083,98322000
2021-10-05,138.481186,139.590139,136.763788,136.891371,80861100
2021-10-06,139.354584,139.501783,135.792205,136.871718,83221100
2021-10-07,140.620575,141.533257,140.061202,140.394864,61732700
2021-10-08,140.237808,141.493961,139.904146,141.346761,58773200
2021-10-11,140.149521,142.112262,139.168150,139.619587,64452200
2021-10-12,138.873734,140.581324,138.412488,140.561692,73035900
2021-10-13,138.284897,138.765759,136.606747,138.608751,78762700
2021-10-14,141.081802,141.199577,138.873719,139.462547,69907100
2021-10-15,142.141663,142.200542,140.836438,141.091604,67940300
2021-10-18,143.819839,144.104430,140.492994,140.777585,85589200
2021-10-19,145.988678,146.391043,143.819857,144.271280,76378900
2021-10-20,146.479340,146.960216,145.360578,145.929775,58418800
2021-10-21,146.695236,146.852259,145.115229,146.037720,61421000
2021-10-22,145.919968,147.382200,145.870896,146.901338,58883400
2021-10-25,145.870865,146.587261,144.869863,145.910113,50720600
2021-10-26,146.538223,148.029895,146.233986,146.548032,60893400
2021-10-27,146.077011,146.940607,145.723717,146.577505,56094900
2021-10-28,149.727692,150.316505,146.930780,147.028923,100077900
2021-10-29,147.009293,147.146684,143.682447,144.477355,124953200
2021-11-01,146.184967,146.911172,145.046574,146.214407,74588300
2021-11-02,147.225174,148.746301,145.880686,145.890510,69122000
2021-11-03,148.667831,149.138885,147.028944,147.588318,54511500
2021-11-04,148.147675,149.590275,147.833629,148.756119,60394600
2021-11-05,148.678375,149.582552,147.479355,149.277885,65463900
2021-11-08,147.852829,148.963401,147.577645,148.806149,55020900
2021-11-09,148.216476,148.825809,147.479374,147.616966,56787900
2021-11-10,145.376175,147.548176,145.307387,147.440067,65187100
2021-11-11,145.327042,146.860212,145.140307,146.398308,41000000
2021-11-12,147.410568,147.813506,144.943724,145.877384,63804000
2021-11-15,147.420410,149.268084,146.860205,147.784042,59222800
2021-11-16,148.403244,148.884823,146.771788,147.361475,59256200
2021-11-17,150.850403,152.334430,148.393396,148.403219,88807000
2021-11-18,155.155075,155.941320,150.417973,151.066627,137827700
2021-11-19,157.788986,158.250905,153.838115,154.938849,117305600
2021-11-22,158.250931,162.850441,158.231271,158.899569,117467900
2021-11-23,158.634171,159.017463,156.324578,158.349149,96041900
2021-11-24,159.155075,159.351633,156.894626,157.985537,69463600
2021-11-26,154.113281,157.690682,153.671023,156.825826,76959800
2021-11-29,157.484299,158.417958,156.059223,156.629250,88748200
2021-11-30,162.457291,162.673508,157.169807,157.238611,174048100
2021-12-01,161.936401,167.371299,161.700523,164.599788,152052500
2021-12-02,160.943756,161.376192,155.086261,156.010098,136739200
2021-12-03,159.056793,162.123148,156.973256,161.199311,118023100
2021-12-06,162.476959,164.992932,161.454836,161.464659,107497000
2021-12-07,168.236130,168.629260,165.444974,166.172253,120405400
2021-12-08,172.069092,172.933963,167.764411,169.169827,116998900
2021-12-09,171.558029,173.710369,170.929036,171.902016,108923700
2021-12-10,176.363937,176.540850,171.685802,172.196864,115402700
2021-12-13,172.717758,178.997867,172.511363,178.005227,153237000
2021-12-14,171.332016,174.683377,169.248479,172.236193,139380400
2021-12-15,176.216507,176.413064,169.346711,172.098562,131063300
2021-12-16,169.297546,178.024837,167.813520,176.196824,150185800
2021-12-17,168.196854,170.486786,166.771793,167.007656,195432700
2021-12-20,166.830765,167.646493,164.580153,165.386044,107499100
2021-12-21,170.014999,170.221380,166.211544,168.609584,91185900
2021-12-22,172.619446,172.835664,169.189459,170.064153,92135300
2021-12-23,173.248459,173.808664,172.255834,172.825861,68356600
2021-12-27,177.228821,177.317269,174.024889,174.044535,74919600
2021-12-28,176.206711,178.211637,175.459786,177.061759,79144300
2021-12-29,176.295135,177.523639,175.076455,176.245992,62348900
2021-12-30,175.135437,177.464690,175.027328,176.383601,59773000
2021-12-31,174.516281,176.147722,174.211600,175.027328,64062300
